PSNR,SSIM,BER,NC,image,attack,survived,total_kps,located
12.088709909278903,0.048931604613872165,0.5625,-0.125,1.1.02.tiff,rotate_15,9,20,10
11.941561236179265,0.03720710247436293,0.5625,-0.125,1.1.02.tiff,scale_0.75,11,20,11
13.933850131133656,0.03538739210249948,0.5625,-0.125,1.1.03.tiff,rotate_15,11,20,11
13.883424575729034,0.03606020791710096,0.5625,-0.125,1.1.03.tiff,scale_0.75,14,20,14
8.847377332280175,0.022791643149557932,0.625,-0.25,1.2.12.tiff,rotate_15,8,20,9
9.130318246752203,0.0520078591956514,0.625,-0.25,1.2.12.tiff,scale_0.75,9,20,9
